lat,long,gauge_id,q_mean,q_std,q_5,q_95,runoff_coefficient,p_mean,p_std,q_7_10,q_seasonal_amplitude,cvq_autumn,cvq_spring,cvq_summer,cvq_winter,q_annual_sens_slope,q_annual_p.value
48.522872,9.144495,DE111690,1.75,1.269,0.58,3.95,0.717,2.44,4.888,0.522,1.311,0.736,0.562,0.917,0.597,-0.001,0.683
49.329306,9.245333,DE111700,0.674,0.81,0.22,1.61,0.29,2.326,4.883,0.209,0.882,1.206,0.9,0.692,1.178,0.002,0.153
49.345868,9.128617,DE111710,1.012,1.631,0.17,3.4,0.4,2.512,5.088,0.178,1.744,1.859,1.259,0.9,1.276,0.001,0.634
48.897056,8.729505,DE111720,0.989,0.952,0.3,2.6,0.379,2.61,4.918,0.286,1.148,0.914,0.764,0.684,0.901,-0.001,0.497
48.702158,9.443798,DE111730,1.151,1.366,0.24,3.42,0.434,2.649,5.054,0.224,1.237,1.258,1.078,1.27,0.999,0,0.812
49.001551,9.768201,DE111740,1.083,1.456,0.22,3.61,0.415,2.608,5.01,0.202,1.457,1.453,1.166,1.225,1.101,-0.001,0.587
48.922128,10.279929,DE111770,1.002,2.398,0.02,4.35,0.427,2.153,4.447,0.02,1.743,2.676,2.255,4.239,1.739,0.01,0
47.96331,8.76646,DE111780,0.943,1.109,0.1,3.06,0.389,2.424,4.828,0.081,1.331,1.309,0.966,1.368,0.967,-0.002,0.292
47.859598,10.028724,DE111790,1.491,1.684,0.15,5.009,0.361,4.128,7.752,0.104,1.346,1.167,0.98,1.331,1.026,0.002,0.135
48.870485,8.711097,DE111820,0.605,0.507,0.23,1.36,0.297,2.037,4.163,0.216,0.441,0.769,0.688,0.934,0.821,0,0.838
48.40322,9.777649,DE111830,0.532,0.395,0.17,1.31,0.196,2.459,4.646,0.154,0.594,0.678,0.594,0.586,0.667,0,0.837
48.38459,8.889234,DE111840,0.886,1.167,0.19,2.62,0.338,2.419,4.859,0.167,0.798,1.161,1.019,2.186,0.954,0.004,0.006
48.111779,8.033508,DE111850,2.87,3.381,0.46,8.68,0.658,4.36,7.951,0.452,3.29,1.204,0.939,1.066,1.093,0,0.865
48.696973,8.150009,DE111860,1.946,2.117,0.33,5.55,0.417,4.387,7.928,0.289,2.035,1.358,0.911,1.024,0.9,-0.005,0.001
48.342786,8.053267,DE111870,1.748,2.083,0.35,5,0.481,3.608,6.631,0.321,1.876,1.101,0.979,1.06,1.12,0.001,0.395
48.29072,7.947309,DE111880,1.159,1.244,0.25,3.42,0.368,3.062,5.812,0.247,1.125,1.101,0.928,1.231,0.922,-0.001,0.277
49.625873,9.66574,DE111890,0.495,0.551,0.13,1.28,0.25,1.904,3.954,0.13,0.685,1.2,0.833,0.943,1.009,0.001,0.592
48.506438,9.37404,DE111900,1.713,1.305,0.5,4.26,0.605,2.686,5.357,0.473,1.68,0.772,0.641,0.76,0.667,0,0.943
48.160294,8.652063,DE111910,0.897,1.23,0.14,2.93,0.357,2.366,4.606,0.133,0.996,1.438,1.153,1.84,1.126,0.003,0.143
48.913836,8.753958,DE111920,1.041,0.979,0.33,2.67,0.376,2.607,4.911,0.318,1.176,0.874,0.754,0.671,0.892,-0.001,0.101
48.284068,8.137654,DE111960,2.033,2.441,0.36,6.16,0.508,3.763,6.81,0.316,2.635,1.196,0.989,0.942,1.025,0,0.858
47.78201,8.824747,DE112060,0.372,0.271,0.13,0.87,0.165,2.249,4.597,0.13,0.317,0.595,0.641,0.694,0.668,0,0.563
49.008085,8.515945,DE112070,0.651,0.692,0.22,1.57,0.272,2.39,4.962,0.211,0.601,0.941,0.849,1,1.107,-0.001,0.434
