catch_no,catch_id,well_id,match_type,dK,K_code_well,K_desc_well,K_index_w,K_code_cat,K_desc_cat,K_index_c,inside_priority,is_natural,nearest_dtw_to_natural,dominant_K_code,dominant_K_share
861,DEA11050,NRW_111214427,inside,0,10,Low to extremely low,6,6,Very low,6,1,0,Inf,6,0.7552699268103032
691,DE911200,NS_1300000034,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7516856588550712
980,DEB10720,RP_2549130000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,1,0,10,0.7511935847694765
978,DEB10700,RP_2397184800,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7464611620990057
833,DEA10610,NRW_59621229,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7436321910829463
822,DEA10460,NRW_31040093,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7405471611558997
944,DEB10220,RP_2545112000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7404396177255671
1151,DEE11070,SA_31350004,inside,0,3,Medium,3,3,Medium,3,1,0,Inf,3,0.7404324341314314
225,DE213580,BY_15183,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.7400870129982026
1109,DEE10390,SA_46351913,inside,0,12,Moderately low to low,4.5,12,Moderately low to low,4.5,1,0,Inf,12,0.7389431387937833
428,DE710160,H_6559,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7380933950692412
942,DEB10200,SAAR_640811000,inside,0,10,Low to extremely low,6,10,Low to extremely low,6,1,0,Inf,10,0.7376258827797946
699,DE911310,TH_30591,inside,0,5,Low,5,5,Low,5,1,0,Inf,5,0.7375695641764052
